発注先,カテゴリ,商品種別,商品名,規格・サイズ,入数/1LOT,単位,単価(税抜),消費税区分
ファンセクト,フード,わらびもち,わらびもち,,5kg*4枚,1箱,12550,軽8%
ハローバンク,フード,わらびもち,きな粉,,5kg*4枚,1袋,10200,軽8%
ファンセクト,フード,わらびもち,黒蜜2kg,,2kg*7,1袋,9800,軽8%
ヤスダ,ドリンク,イチゴヨーグルト,ヤスダヨーグルト,ドリンクヨーグルト800g,6本,1箱,2406,軽8%
めいらく,ドリンク,イチゴミルク,牛乳,めいらく1L,1本,1本,260,軽8%
㈱小柳津清一商店,ドリンク,抹茶,抹茶粉(浅川園),抹茶やましろ　300g,1袋,1袋,5400,軽8%
㈱小柳津清一商店,ドリンク,ほうじ茶,天空のほうじ茶,天空のほうじ茶1kg,1袋,1袋,10260,軽8%
㈱小柳津清一商店,フード,かき氷,抹茶75号(100g),M75-100 抹茶75号　100g,1袋,1袋,1800,標準10%
㈱小柳津清一商店,フード,かき氷,抹茶75号(1kg),M75-1K 抹茶75号　1kg,1袋,1本,16000,標準10%
ファンセクト,お土産,,スティックわらびもち,5種類,15箱,1箱,11910,軽8%
ファンセクト,お土産,,釜揚げわらび箱,＠2477,8箱,1箱,19816,軽8%
ファンセクト,お土産,,釜揚げわらび単品,＠276,20個,1箱,5520,軽8%
和田萬,フード,ごまわらび,有機すりごま,有機黒すりごま　1kg,1袋,1袋,1276,軽8%
ザ・パック,お土産,限定商品,イベント袋,イベント用手堤大(棚卸は、25袋で１表示),300枚,1箱,9540,標準10%
ザ・パック,お土産,わらびもち,5個入りパック(お土産),わらび餅5個箱,500枚,1箱,20750,標準10%
ザ・パック,お土産,わらびもち,10個入りパック(お土産),わらび餅10個箱,500枚,1箱,23950,標準10%
ザ・パック,お土産,わらびもち,紙袋(小),紙手堤げ小,300枚,1箱,7952,標準10%
ザ・パック,お土産,わらびもち,紙袋(大),紙手提げ大,300枚,1箱,9540,標準10%
三条印刷,お土産,わらびもち,A6POPうんちく,A6POP【第四版】,2000枚,1箱,13800,標準10%
テフラックス,フード,,おしぼり(100),リフレ　平型　名入り,2400枚,1箱,12000,標準10%
テフラックス,備品,,手袋,フィットテックグローブJ F,4000枚,1箱,20370,標準10%
栄,備品,,手袋ポリ,HGCBS-100 外エンボス　青　Sサイズ,6000枚,1箱,9360,標準10%
テフラックス,ドリンク,ドリンク共通,細いストロー,フィルム包装　フレックスストロー　黒,500本,1箱,799,標準10%
三本珈琲,ドリンク,ドリンク共通,ガムシロップ1L,三本珈琲 業務用ｶﾞﾑｼﾛｯﾌﾟ 1L,12本,1箱,6220,標準10%
三本珈琲,備品,珈琲,フィルター大,ＭＭＣ立型ロシ　#250,250枚,1袋,804,標準10%
